LineNo,TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,U
6225,2654079582,3,466018400,1949,9,1,47.4985589,19.1990314,145.43,0.1004988,84.2894,0.06,1
6287,2654279568,3,466018600,1949,9,1,47.4985589,19.1990316,145.41,0.02828427,225,0.07,1
6349,2654479530,3,466018800,1949,9,1,47.498559,19.1990315,145.46,0.05830951,329.0363,0.03,1
6409,2654679660,3,466019000,1949,9,1,47.4985591,19.1990315,145.44,0.01414214,315,0.05,1
6469,2654879746,3,466019200,1949,9,1,47.4985592,19.1990315,145.43,0.04472136,26.56505,0.06,1
6531,2655079467,3,466019400,1949,9,1,47.4985592,19.1990316,145.44,0.07615773,113.1986,-0.02,1
6591,2655279663,3,466019600,1949,9,1,47.4985593,19.1990321,145.4,0.2830194,57.99461,-0.09999999,1
6653,2655479840,3,466019800,1949,9,1,47.4985596,19.1990325,145.42,0.1802776,19.44003,-0.15,1
6715,2655699627,3,466020000,1949,9,1,47.49856,19.199033,145.52,0.4280187,52.59464,-0.58,1
6773,2655879680,3,466020200,1949,9,1,47.4985611,19.1990341,145.73,1.077868,25.85186,-1.31,1
6835,2656079640,3,466020400,1949,9,1,47.4985628,19.1990352,146.04,0.9352005,24.64677,-1.4,1
6895,2656279671,3,466020600,1949,9,1,47.4985645,19.1990363,146.33,1.082266,26.32829,-1.49,1
6958,2656479595,3,466020800,1949,9,1,47.4985663,19.1990378,146.63,1.231665,29.68718,-1.43,1
7018,2656680055,3,466021000,1949,9,1,47.4985682,19.1990397,146.76,1.404706,28.0245,-1.23,1
7078,2656879705,3,466021200,1949,9,1,47.4985704,19.1990414,147.03,1.291395,30.73549,-1.16,1
7140,2657079866,3,466021400,1949,9,1,47.4985724,19.1990431,147.22,1.247758,26.15434,-0.95,1
7200,2657279469,3,466021600,1949,9,1,47.4985746,19.1990445,147.46,1.401178,24.00401,-0.9,1
7262,2657479679,3,466021800,1949,9,1,47.4985767,19.1990459,147.68,1.18596,28.72613,-0.75,1
7322,2657679614,3,466022000,1949,9,1,47.4985789,19.1990473,147.78,1.3544,16.29405,-0.52,1
7384,2657880075,3,466022200,1949,9,1,47.4985812,19.1990485,147.88,1.329135,24.44395,-0.33,1
7444,2658079742,3,466022400,1949,9,1,47.4985833,19.1990498,147.9,1.192183,18.58692,0.16,1
7505,2658279685,3,466022600,1949,9,1,47.4985852,19.1990506,147.92,1.028834,15.7924,0.11,1
