xLat,xLong,terrainHeight
39.89297,-113.308,1298.665
39.893,-113.296,1301.338
39.89303,-113.2839,1302.793
39.89307,-113.2718,1306.7
39.89309,-113.2597,1314.082
39.89313,-113.2476,1324.539
39.89315,-113.2356,1335.329
39.89318,-113.2235,1344.153
39.8932,-113.2114,1355.319
39.89323,-113.1993,1370.818
39.89325,-113.1872,1388.78
39.89326,-113.1752,1406.799
39.89328,-113.1631,1429.378
39.89331,-113.151,1460.39
39.89333,-113.1389,1490.533
39.89334,-113.1268,1516.706
39.89335,-113.1147,1549.994
39.89336,-113.1027,1621.234
39.89338,-113.0906,1714.559
39.89339,-113.0785,1738.452
39.89339,-113.0664,1640.806
39.89341,-113.0544,1494.084
39.89341,-113.0423,1412.763
39.89341,-113.0302,1396.564
39.89341,-113.0181,1393.643
39.89341,-113.006,1393.234
39.89341,-112.994,1395.469
39.89341,-112.9819,1398.276
39.90105,-113.586,1298.517
39.9011,-113.5739,1295.783
39.90118,-113.5618,1294.218
39.90124,-113.5497,1295.025
39.90131,-113.5376,1297.258
39.90136,-113.5256,1297.797
39.90142,-113.5135,1297.363
39.90148,-113.5014,1298.775
39.90155,-113.4893,1300.768
39.90159,-113.4772,1301.273
39.90165,-113.4651,1301.343
39.9017,-113.4531,1307.166
39.90175,-113.441,1314.985
39.90181,-113.4289,1312.83
39.90185,-113.4168,1311.674
39.9019,-113.4047,1313.453
39.90195,-113.3927,1308.523
39.902,-113.3806,1305.673
39.90203,-113.3685,1305.758
39.90208,-113.3564,1302.739
39.90213,-113.3443,1299.368
39.90216,-113.3322,1297.554
39.90219,-113.3202,1296.25
39.90223,-113.3081,1296.068
39.90227,-113.296,1297.565
39.90231,-113.2839,1301.391
39.90233,-113.2718,1306.252
39.90236,-113.2598,1312.038
39.90239,-113.2477,1321.072
39.90242,-113.2356,1329.105
39.90244,-113.2235,1336.52
39.90247,-113.2114,1347.966
39.9025,-113.1993,1362.325
39.90252,-113.1873,1379.487
39.90253,-113.1752,1398.544
39.90256,-113.1631,1428.357
39.90258,-113.151,1467.679
39.9026,-113.1389,1501.172
39.9026,-113.1269,1538.742
39.90263,-113.1148,1602.595
39.90263,-113.1027,1682.292
39.90265,-113.0906,1738.344
39.90266,-113.0785,1773.575
39.90266,-113.0664,1711.488
